ID,ZIP,CITY,STATE,LAT,LONG
8965,21543,"MIDLOTHIAN",MD,39.66,-78.94
8966,21545,"MOUNT SAVAGE",MD,39.69,-78.88
8967,21550,"OAKLAND",MD,39.41,-79.41
8968,21555,"OLDTOWN",MD,39.54,-78.61
8969,21556,"PINTO",MD,39.54,-78.89
8970,21557,"RAWLINGS",MD,39.53,-78.88
8971,21560,"SPRING GAP",MD,39.59,-78.69
8972,21561,"SWANTON",MD,39.47,-79.21
8973,21562,"WESTERNPORT",MD,39.48,-79.04
8974,21601,"EASTON",MD,38.77,-76.06
8975,21606,"EASTON",MD,38.77,-76.07
8976,21607,"BARCLAY",MD,39.14,-75.86
8977,21609,"BETHLEHEM",MD,38.74,-75.93
8978,21610,"BETTERTON",MD,39.36,-76.07
8979,21612,"BOZMAN",MD,38.75,-76.26
8980,21613,"CAMBRIDGE",MD,38.56,-76.07
8981,21617,"CENTREVILLE",MD,39.04,-76.06
8982,21619,"CHESTER",MD,38.95,-76.28
8983,21620,"CHESTERTOWN",MD,39.21,-76.07
8984,21622,"CHURCH CREEK",MD,38.5,-76.15
8985,21623,"CHURCH HILL",MD,39.14,-75.98
8986,21624,"CLAIBORNE",MD,38.82,-76.28
8987,21625,"CORDOVA",MD,38.87,-75.99
8988,21626,"CRAPO",MD,38.32,-76.12
8989,21627,"CROCHERON",MD,38.24,-76.05
8990,21628,"CRUMPTON",MD,39.23,-75.91
8991,21629,"DENTON",MD,38.88,-75.82
8992,21631,"EAST NEW MARKET",MD,38.59,-75.92
8993,21632,"FEDERALSBURG",MD,38.69,-75.77
8994,21634,"FISHING CREEK",MD,38.32,-76.23
8995,21635,"GALENA",MD,39.34,-75.87
8996,21636,"GOLDSBORO",MD,39.03,-75.78
8997,21638,"GRASONVILLE",MD,38.95,-76.19
8998,21639,"GREENSBORO",MD,38.97,-75.8
8999,21640,"HENDERSON",MD,39.07,-75.76
9000,21641,"HILLSBORO",MD,38.91,-75.94
9001,21643,"HURLOCK",MD,38.62,-75.87
9002,21644,"INGLESIDE",MD,39.12,-75.89
9003,21645,"KENNEDYVILLE",MD,39.3,-75.98
9004,21647,"MCDANIEL",MD,38.82,-76.28
9005,21648,"MADISON",MD,38.5,-76.22
9006,21649,"MARYDEL",MD,39.11,-75.74
9007,21650,"MASSEY",MD,39.31,-75.81
9008,21651,"MILLINGTON",MD,39.25,-75.84
9009,21652,"NEAVITT",MD,38.72,-76.28
9010,21653,"NEWCOMB",MD,38.75,-76.19
9011,21654,"OXFORD",MD,38.68,-76.17
9012,21655,"PRESTON",MD,38.71,-75.9
9013,21656,"PRICE",MD,39.14,-75.99
9014,21657,"QUEEN ANNE",MD,38.91,-75.95
9015,21658,"QUEENSTOWN",MD,38.98,-76.15
9016,21659,"RHODESDALE",MD,38.59,-75.79
9017,21660,"RIDGELY",MD,38.94,-75.88
9018,21661,"ROCK HALL",MD,39.14,-76.24
